state,x,y
Peja,-214.0,64.0
Deqani,-231.0,15.0
Gjakova,-180.0,-62.0
Prizreni,-68.0,-143.0
Rahoveci,-113.0,-53.0
Sharr,-86.0,-250.0
Therandë,-25.0,-81.0
Shterpce,26.0,-136.0
Kacanik,109.0,-150.0
Ferizaji,79.0,-69.0
Shtimja,37.0,-37.0
Lipjani,63.0,-7.0
Vitia,150.0,-94.0
Gjilani,188.0,-35.0
Kamenica,225.0,19.0
Artan,171.0,18.0
Prishtina,97.0,78.0
Fush Kosove,51.0,41.0
Obiliq,43.0,83.0
Vushtrri,13.0,131.0
Drenas,-15.0,45.0
Skenderaj,-66.0,115.0
Mitrovic,-18.0,171.0
Podujeve,91.0,182.0
Albanik,-44.0,277.0
Zvecan,-55.0,211.0
Zubin Potok,-99.0,180
Klin,-110.0,42.0
Burim,-157.0,110.0
Shterpc,27.0,-145.0
